"File: C:\Documents and Settings\Yingxiao Wang\My Documents\lab_members\Jihye\FA dynamics\Src\102408_Src + mcherry pax\2\2-1.log"
"Date: Fri Oct 24 2008 12:5:42.921"
0.00, "Wavelength Names:	CFP	FRET	transmitted light	RFP	open"
"Time (sec)"
14.86
"Region 1: [Location: (124, 143), Size: (128, 104), Area: 10352]"
"Region 2: [Location: (290, 146), Size: (111, 94), Area: 8108]"
"Region 3: [Location: (166, 264), Size: (163, 129), Area: 16347]"
"Time (sec)", "R1 W1 Avg", "R1 W1 Sum", "R1 W1 Area", "R1 W2 Avg", "R1 W2 Sum", "R1 W2 Area", "R1 W3 Avg", "R1 W3 Sum", "R1 W3 Area", "R1 W4 Avg", "R1 W4 Sum", "R1 W4 Area", "R1 R1", "R2 W1 Avg", "R2 W1 Sum", "R2 W1 Area", "R2 W2 Avg", "R2 W2 Sum", "R2 W2 Area", "R2 W3 Avg", "R2 W3 Sum", "R2 W3 Area", "R2 W4 Avg", "R2 W4 Sum", "R2 W4 Area", "R2 R1", "R3 W1 Avg", "R3 W1 Sum", "R3 W1 Area", "R3 W2 Avg", "R3 W2 Sum", "R3 W2 Area", "R3 W3 Avg", "R3 W3 Sum", "R3 W3 Area", "R3 W4 Avg", "R3 W4 Sum", "R3 W4 Area", "R3 R1"
74.86, 5965.90, 61758976.00, 10352.00, 8432.32, 87291377.00, 10352.00, 0.00, 0.00, 0.00, 1708.30, 17684290.00, 10352.00, 0.72, 5494.35, 44548151.00, 8108.00, 7066.80, 57297590.00, 8108.00, 0.00, 0.00, 0.00, 1692.60, 13723591.00, 8108.00, 0.79, 5678.63, 92828559.00, 16347.00, 7690.24, 125712370.00, 16347.00, 0.00, 0.00, 0.00, 1697.14, 27743158.00, 16347.00, 0.75
134.86, 5991.52, 62024210.00, 10352.00, 8424.90, 87214569.00, 10352.00, 0.00, 0.00, 0.00, 1738.03, 17992046.00, 10352.00, 0.72, 5530.81, 44843785.00, 8108.00, 7091.70, 57499493.00, 8108.00, 0.00, 0.00, 0.00, 1722.58, 13966697.00, 8108.00, 0.79, 5726.59, 93612632.00, 16347.00, 7725.18, 126283473.00, 16347.00, 0.00, 0.00, 0.00, 1729.08, 28265309.00, 16347.00, 0.75
194.86, 6004.61, 62159735.00, 10352.00, 8409.62, 87056368.00, 10352.00, 0.00, 0.00, 0.00, 1757.63, 18195018.00, 10352.00, 0.72, 5533.55, 44866041.00, 8108.00, 7069.89, 57322697.00, 8108.00, 0.00, 0.00, 0.00, 1740.52, 14112111.00, 8108.00, 0.79, 5740.12, 93833768.00, 16347.00, 7687.47, 125667029.00, 16347.00, 0.00, 0.00, 0.00, 1748.09, 28576082.00, 16347.00, 0.76
254.86, 6015.73, 62274797.00, 10352.00, 8379.75, 86747130.00, 10352.00, 0.00, 0.00, 0.00, 1766.49, 18286656.00, 10352.00, 0.73, 5551.42, 45010922.00, 8108.00, 7095.55, 57530681.00, 8108.00, 0.00, 0.00, 0.00, 1752.67, 14210687.00, 8108.00, 0.79, 5741.44, 93855245.00, 16347.00, 7694.08, 125775046.00, 16347.00, 0.00, 0.00, 0.00, 1757.85, 28735499.00, 16347.00, 0.76
314.86, 6027.85, 62400279.00, 10352.00, 8378.20, 86731119.00, 10352.00, 0.00, 0.00, 0.00, 1774.07, 18365160.00, 10352.00, 0.73, 5561.03, 45088831.00, 8108.00, 7102.40, 57586280.00, 8108.00, 0.00, 0.00, 0.00, 1761.06, 14278679.00, 8108.00, 0.79, 5737.28, 93787397.00, 16347.00, 7712.03, 126068577.00, 16347.00, 0.00, 0.00, 0.00, 1764.89, 28850707.00, 16347.00, 0.75
374.86, 5996.22, 62072836.00, 10352.00, 8336.57, 86300133.00, 10352.00, 0.00, 0.00, 0.00, 1774.55, 18370133.00, 10352.00, 0.73, 5557.59, 45060922.00, 8108.00, 7080.52, 57408829.00, 8108.00, 0.00, 0.00, 0.00, 1762.51, 14290447.00, 8108.00, 0.80, 5738.04, 93799727.00, 16347.00, 7677.25, 125500030.00, 16347.00, 0.00, 0.00, 0.00, 1766.58, 28878243.00, 16347.00, 0.76
440.03, 5914.97, 61231791.00, 10352.00, 8257.95, 85486249.00, 10352.00, 0.00, 0.00, 0.00, 1728.69, 17895367.00, 10352.00, 0.73, 5422.98, 43969561.00, 8108.00, 6859.38, 55615814.00, 8108.00, 0.00, 0.00, 0.00, 1715.49, 13909229.00, 8108.00, 0.80, 5635.48, 92123266.00, 16347.00, 7565.99, 123681262.00, 16347.00, 0.00, 0.00, 0.00, 1720.95, 28132336.00, 16347.00, 0.76
500.03, 5992.75, 62036995.00, 10352.00, 8332.30, 86255941.00, 10352.00, 0.00, 0.00, 0.00, 1765.85, 18280051.00, 10352.00, 0.73, 5512.25, 44693304.00, 8108.00, 6977.03, 56569777.00, 8108.00, 0.00, 0.00, 0.00, 1753.17, 14214718.00, 8108.00, 0.80, 5734.99, 93749954.00, 16347.00, 7642.06, 124924702.00, 16347.00, 0.00, 0.00, 0.00, 1760.56, 28779886.00, 16347.00, 0.76
535.66, 5990.31, 62011705.00, 10352.00, 8280.04, 85714973.00, 10352.00, 0.00, 0.00, 0.00, 1761.22, 18232177.00, 10352.00, 0.73, 5523.94, 44788099.00, 8108.00, 6961.53, 56444124.00, 8108.00, 0.00, 0.00, 0.00, 1749.53, 14185158.00, 8108.00, 0.80, 5714.15, 93409175.00, 16347.00, 7608.82, 124381392.00, 16347.00, 0.00, 0.00, 0.00, 1756.13, 28707418.00, 16347.00, 0.76
611.52, "pdgf 10"
